# 逐字稿 2026-05-05
# 來源音檔：錄製 (5).m4a

[00:00] 前面的話先講說
[00:02] 我這邊的幾個
[00:05] 首先就是要讓它可以包裝成
[00:08] 跳出BS Code的這個部分
[00:11] 跳出BS Code
[00:12] 就是不要用BS Code去驅動
[00:15] 然後再來就是它自己要有
[00:16] 那個檢查到錯誤然後可以
[00:19] 重新啟動的機制
[00:21] 這部分我建議
[00:23] 你可以在那邊寫一個觀察程式
[00:25] 觀察程式
[00:26] 這邊有準備要做這個觀察程式
[00:29] 就是一次去管理每一個
[00:32] 我這邊所有的任務
[00:34] 小幫手還有那個會員登錄
[00:37] 什麼有的沒的
[00:37] 那我這邊給你一個建議
[00:40] 就是你這個觀察程式有沒有
[00:42] 當它Catch死掉之前
[00:44] 就是你寫那個拆Catch之前
[00:47] 它Catch的時候傳訊息給你
[00:51] 好然後再來是那個
[00:53] 我們剛剛講到
[00:55] 在小幫手這邊
[00:56] 接下來要讓它有一個是
[00:59] 下架分店
[01:00] 下架分店的話之前
[01:01] 在義風這邊有做過
[01:03] 然後另外一個功能是這個
[01:07] 結束時間
[01:10] 單一客戶結束時間
[01:12] 設為一個月的月初
[01:14] 這個地方
[01:15] 它不是只月初的意思是說
[01:18] 它遇到狀況是這樣
[01:19] 今天希爾跟我說他
[01:21] Code還用完了
[01:22] 他要5月1號才把他幫他彙集
[01:24] 那因為我們的倒數計時
[01:26] 是設到4月30的23.59分59秒
[01:30] 那相對於他說5月1號匯款
[01:31] 有可能他5月1號的
[01:33] 某一個時間點匯款
[01:34] 他那一天會沒辦法用
[01:36] 所以通常在有信用的客戶身上
[01:40] 沒信用的不算
[01:41] 跟你說5月1號
[01:42] 然後5月1號又說
[01:43] 我再延個5天再延個10天
[01:45] 再延個15天那種不算
[01:47] 那種我不理他
[01:48] 當時有一個有信用的客戶說
[01:50] 我今天要延期的時候
[01:51] 我會去把分店裡面有所謂的
[01:55] 到期日
[01:56] 這我不會延期
[01:57] 我可以往後去設定
[01:59] 例如說他說5月1號
[02:01] 那我就會看情況
[02:03] 我可能會設5月1號的晚上
[02:05] 因為要設就一定都是晚上
[02:07] 我不太會設在中間
[02:09] 就是晚上
[02:10] 我其實也沒差那幾個小時
[02:12] 就是設在最晚
[02:13] 或者是我可能設5月2號
[02:15] 那意思都是23.59分59秒
[02:18] 我可以去延後
[02:19] 像這次振興
[02:21] 振興就跟我說他可能要5月31
[02:23] 5月31號
[02:25] 5月31號的最後一天給我
[02:29] 他這個如果是守信用
[02:30] 那沒關係
[02:31] 我就讓你欠一個月
[02:33] 那我就幫你設定那時候
[02:35] 但是設定這個東西的部分
[02:37] 目前都是要到電腦裡面去點
[02:40] 他有一個功能
[02:42] 我們先又寫一個改點數的功能
[02:45] 我沒有要加他點數
[02:46] 我只是把時間往後延而已
[02:49] 這個之前是做在Post系統裡面
[02:51] 就是我們有一個測試用底下
[02:52] 他會有一個叫做
[02:56] 有一個點數可以修改的一個功能
[02:59] 我忘了他這個叫什麼
[03:00] 沒關係
[03:01] 反正之後把它做成是小幫手
[03:03] 小幫手這部分如果可以幫忙的話
[03:05] 我就不用電腦敲出來登錄
[03:07] 然後去點那個
[03:08] 然後去改
[03:10] 小幫手我還是希望在我需要的時候
[03:14] 就是像這種小改的地方
[03:16] 就是我會
[03:17] 他那個會是每一間分店
[03:19] 他原本是到4月30號全部改成
[03:23] 我指定那個日期
[03:23] 可能是5月1號
[03:24] 我說5月1號的時候
[03:25] 他指的是
[03:27] 你懂的
[03:27] 235959
[03:29] 會是這個
[03:30] 但我講5月2號也是235959
[03:33] 當我改了之後
[03:34] 然後我可以改他的
[03:35] 現在是可以加點
[03:37] 對
[03:37] 現在是可以加點的
[03:38] 那就是可以加點再加上
[03:41] 我可以改日期
[03:41] 那基本上我就不一定要把電腦打開
[03:45] 就這兩個功能就是你最常用到的這兩個
[03:48] 尤其是在月底
[03:49] 在月底的時候最好不要掛
[03:51] 因為我就是在月底
[03:52] 我用到這個功能
[03:53] 你又在月底掛給我看
[03:55] 然後你又請假我就很為難
[03:56] 好好好
[03:57] 你都會是
[03:58] 對
[03:58] 講到這個你那不能就是
[03:59] 因為你是小幫手
[04:01] 我昨天進去看
[04:02] 我也不知道他到底要從哪一個地方開始開
[04:05] 所以你可能跟我講一下
[04:06] 他是從哪一個
[04:07] 實用說明這樣子
[04:08] 對沒有你不要講
[04:10] 寫很多實用說明
[04:11] 就跟我講說
[04:12] 他的那個
[04:13] PY
[04:14] PY開始開是從哪一些
[04:16] 哪些PY程式要打開
[04:18] 好
[04:18] 因為我昨天我試了一下
[04:20] 我也不知道到底要看哪幾個
[04:21] 包起來
[04:22] 包起來你其實
[04:24] 沒有人是要了解你完整的code
[04:27] 因為沒有人那麼多時間
[04:29] 而是說你當一個test環境
[04:31] 你可以把test環境跟正式版把它隔開
[04:34] 因為我發覺現在很多使用師我發現死掉
[04:37] 或許你在做一些測試
[04:39] 那是不是跟我們現在的測試版
[04:41] 正式版是一樣的
[04:42] 我們是有一個正常版本
[04:43] 有一個測試版本
[04:45] 測試版本隨便你弄給他掛就算了
[04:48] 因為你就是在
[04:49] 但是我正式是可以用
[04:51] 就測試版本其實你可以就是有點像是影子模式一樣
[04:54] 就是你坐在這去往裡面
[04:56] 如果到這次環境你再把它掛在一個Coffee的上面
[04:59] 好
[04:59] 你懂我講
[05:00] OK
[05:01] 就是我把它隔開啦
[05:03] 不要影響到正常工作
[05:05] 因為正常工作就很麻煩
[05:07] 然後就是新增的功能
[05:08] 你可以這個都測好我ok了上去
[05:11] 然後他還要有一個AutoPlay Detection
[05:13] 有那種偵測的機制
[05:15] 你沒想到就去問他個問題啊
[05:16] 好
[05:17] 以前他有寫一個
[05:19] 你說預刊嗎
[05:20] 以前原來有寫一個
[05:21] 但是那時候會寫那個
[05:23] 主要是因為練地會自己輸的
[05:26] 所以才會一直需要一直去問他到底過程
[05:30] 沒有
[05:30] 他以前是把那隻程式掛在他這台電腦上面
[05:35] 這台電腦一旦Sleep的時候
[05:36] 那隻程式當然不會跑啊
[05:38] 你從外部網路連進來就
[05:41] 但是我們現在是不僅像這樣用嘛
[05:43] 我們把它掛在一個他OS按的地方
[05:47] 對啊不會因為電腦關機
[05:49] 那本來就不應該是這樣
[05:50] 就是現在那台的50.6上去
[05:53] 現在都是
[05:54] 就是算是我們內部服務用的
[05:58] 反正就是偵測機制
[05:59] 你看是沒小事問他一下還是怎麼樣的
[06:02] 就是以前他是一直問一直問
[06:03] 但是我覺得是不需要
[06:04] 那有點像DOS攻擊
[06:06] 哈哈哈
[06:07] 自己DOS
[06:08] 自己每秒這樣攻
[06:09] 而且我覺得我們現在POST裡面有一個叫做
[06:12] 斷線紀錄我也覺得
[06:15] 他每秒都
[06:16] 每幾個毫秒都去問一下有沒有斷線
[06:18] 有沒有斷線有沒有斷線
[06:19] 但是他是在他自己
[06:21] 太多我可能還是
[06:24] POST裡面他
[06:25] 自己會開Street去看有沒有斷線有沒有斷線
[06:29] 對我想問一下就是
[06:30] 上那個上下架
[06:33] 的那個就是分店的那個新增分店
[06:36] 我在想說要不要就是
[06:38] 因為我們各自要顧裡面有一個叫
[06:41] Great Custom
[06:43] 所以我乾脆
[06:44] 合在一起
[06:45] Great Custom是開個全新的客戶
[06:48] 那加分店是
[06:50] 你可以是兩個
[06:52] 你可以是兩個SP
[06:54] 因為我在想說如果寫成SP的話
[06:57] 他那邊會比較好比較
[06:59] 客戶有整個下來的也有整個開新的
[07:01] 也有可能我加一間店也可能砍兩間店
[07:05] 這都是有可能的
[07:07] 那甚至有就我剛才講有的客戶是針對這一來
[07:10] 這個到期日再往後延
[07:13] 有的是我要加點給他
[07:15] 因為你付錢我就加點給你我就不廢話
[07:21] 所以這些都
[07:22] 把它弄起來
[07:23] 而且我覺得GTV的部分目前我還沒有看到
[07:27] 最近可能沒什麼進度
[07:30] 論文如果搞定的話我可能會再要求快一點
[07:33] 論文搞定之前我們就稍微放鬆一下
[07:36] 他必須要
[07:38] 就是在每個月月底你不要你不要賣給我
[07:41] 我大概是月底跟月初
[07:45] 這個時間比較會用到
[07:47] 目前我上禮拜把它加的一個機制就是
[07:50] 因為我這邊用的是兩個
[07:53] 之前只有用Groker的一個服務
[07:56] 然後我現在變成是兩層
[07:58] 一個是Groker一個是Hogginface
[08:00] 然後其中一個
[08:01] 然後還有跳到另外一個
[08:03] 就是免費的LMF
[08:06] 讓他做兩層兩層防禦這樣子
[08:10] 然後他們這兩條它都是那個免費的
[08:15] 原模型的供應商
[08:18] 我們的用量也不高現在應該也還好
[08:21] 我就是看用量其實不大
[08:23] 也不用到特別買API
[08:25] 有免費的就用
[08:27] 然後他們那個上面
[08:30] 就是剛好這兩間供應商它能提供的模型都
[08:35] 都是一樣70B的那個模型的大小
[08:40] 文字處理起來應該是都沒有問題
[08:43] 它說參數是70個billion
[08:45] 對對對
[08:47] 就是它語意分析沒有太大問題就好
[08:49] 我們不需要它太聰明不用了
[08:51] 就一般的就好了
[08:54] 然後剩下就是看那個提示詞工程
[08:57] 要怎麼樣去裝起來
[08:59] 讓它可以問到不要的問題
[09:02] 好啦你自己先壓一個時間
[09:04] 你覺得就是在論文考試完之後
[09:07] 多久你是可以有一個像我上次講的
[09:10] 這樣子就是
[09:12] 它問的問題當不明確的時候
[09:14] 它可以repeat你的問題
[09:15] 然後跟缺什麼東西
[09:17] 你比較像是哪個工作
[09:20] 然後你缺哪個工作它缺哪個
[09:22] 你可以分層的問去得到你想要
[09:25] 它沒有要一次性的把所有的
[09:29] 我要的那個我們講perimeter什麼東西
[09:32] 一次性我給不起的你就是
[09:35] 分次問
[09:35] 我那個論文大概6月10號就考試完了
[09:39] 剩下就是論文結語
[09:41] 沒關係好
[09:42] 那就先這樣子
[09:44] 你還有其他要講的嗎
[09:45] 差不多就這樣子
[09:46] 在我們這邊
[09:47] 蛤
[09:48] 我們這邊有很多
[09:49] 你啊
[09:49] 好那我這邊
[09:50] 欸繼續繼續錄嗎
[09:52] 你願意要繼續錄嗎
[09:54] 我們要繼續錄
[09:54] 我們到時候沒有必要再把它結關就好
[09:57] OK
[09:58] 老闆首先你早上有講過的
[10:01] 就是它的典型的那個
[10:03] 退貨的那個部分
[10:05] 對就是典數規則設定這邊
[10:07] 就是要不然就是我們在這邊
[10:09] 順便說我們的典數計算給退貨的部分
[10:12] 如果這部分是他們不能改
[10:16] 可以啊
[10:17] 也很好啊
[10:17] 但我是
[10:19] 我是傾向是
[10:20] 接下來我想要買一些律師服務啦
[10:23] 然後就想說我們是不是把
[10:26] 我們其實去HP可以寫一些簡單的那個
[10:29] 那個
[10:29] 演成生理嗎
[10:31] 不是演成生理是軟體使用合約啦
[10:35] 是可以你啊
[10:35] 但是我不確定
[10:36] 因為我們這邊
[10:37] 三個人都沒有法律知識我不太確定
[10:40] 我們它寫出來的不然鑑別說
[10:42] 它到底是不是真的
[10:43] 具有法律效應懂不懂
[10:46] 它不
[10:47] 欸就是軟體使用合約
[10:48] 我們會遇到一些問題
[10:49] 例如說退費啦
[10:51] 例如說
[10:52] 就是有的人會覺得是我們的問題
[10:54] 造成說怎麼樣
[10:55] 那有的人是怎樣
[10:57] 就大概把以前有的經驗大概列一列而已
[10:59] 然後
[11:00] 法律調管這種東西像是
[11:03] 君子不防小人因為你列不完
[11:06] 沒關係繼續
[11:07] 好還有就是說
[11:12] 這裡
[11:15] 比如說合效的部分已經完成
[11:17] 看一下
[11:25] 各位
[11:26] 這個法構已經有刷沒辦法刷一遍
[11:29] 對
[11:30] 用手看一下就是
[11:33] 那個法構已經沒辦法刷一遍
[11:35] 對
[11:35] 因為螢幕太亮
[11:37] 它不是
[11:37] 它會打紅外線過來
[11:39] 然後再反射回去
[11:40] 但是
[11:41] 如果說
[11:41] 這隻不行
[11:42] 對這隻不行
[11:43] 這隻不行
[11:45] 因為這隻我刷很多次都是刷不出來
[11:48] 那沒關係我這邊先去
[11:49] 做這個設定
[11:51] 對不起它這裡
[11:53] 有點
[11:55] 有看到一點
[11:56] 我是變成這邊
[11:57] 是
[11:59] 素
[12:02] 是不是
[12:05] 這些
[12:15] 這邊的話
[12:17] 就是前面會先打
[12:19] 當後面還會的計算
[12:22] 非常不得是說
[12:23] 那
[12:27] 就是過期的
[12:29] 然後再來是用經濟系針的
[12:34] 他就會去根據
[12:38] 我現在還會去檢查有沒有
[12:40] 那上面可以回銷
[12:47] 你會去看說他的最低消費
[12:50] 就是他會去比
[12:52] 所以你最低消費門檻
[12:54] 如果他按專案的話
[12:56] 那最低消費門檻怎麼樣
[13:00] 專案的那個用盡要升級
[13:04] 專案用盡要升級是不是
[13:06] 可是他們給我們的案例是說
[13:08] 這個消費單
[13:10] 這個單據的總金額
[13:12] 要超過某一個金項
[13:14] 他們好像沒有說
[13:16] 我查到那邊就問他
[13:18] 如果他1399能不能送他一個保護
[13:21] 因為他們總共給了30塊
[13:25] 因為我是照他們那個規則來走
[13:27] 因為他們規則是說
[13:29] 消費單有那個
[13:31] 我做這麼久所以我的理解比他們理解的更多
[13:36] 所以你是說就是
[13:38] 不看那個嘛
[13:40] 不太看他直接就是
[13:42] 連他們保利的用盡那些都送出去
[13:44] 你現在的那個條件叫什麼
