# 逐字稿 2026-04-27
# 來源音檔：錄製 (3).m4a

[00:00] 那個歐卡點開來之後,它有一堆的折價券,你點了之後它可以按一個消炸的部分,把它消掉
[00:08] 門市小姐可以去,我歐卡出事嘛,我是這個會員,我在這個歐卡,在你們這邊我是會員,然後它有這些折價券,有沒有那一張可以用
[00:20] 它有點了之後,可以把它消掉,然後就幫我把那個東西扣掉
[00:24] 這部分我想說是,因為雷歐監也算是一種商品嘛,你不會說它的成本是負的
[00:30] 不是成本是負的,不一定是負的,因為有的,像那個,想說它的銷售金額會是負的
[00:36] 宇星的部分,它就是說它的那個錢的話,它會在總共是不給它
[00:42] 總共是說的
[00:44] 主要是它的那個銷帳的部分,我不太確定,我做出來它們這樣會不會滿意的
[00:51] 沒關係啦,你先有一個,我要有一個,先有一個交代,那這個我們從手機點就點得到嗎?現在這個頁面
[01:00] 從手機點,點得到喔?
[01:03] 那個自衛門是那個點不到喔?
[01:07] 當然有機會,謝謝
[01:09] 自衛門是那個點不到
[01:11] 喔,你說最新的這個點數兌換了,點數兌換還沒上
[01:15] 我先把它更新上去
[01:17] 因為我現在其實跟這個也很快,就是跟我這邊更新,這邊還確定
[01:27] 然後切到這裡
[01:31] 就要這邊按update
[01:37] 我會拉到保持
[01:39] 然後這邊放進就這樣
[01:45] 然後這邊點lb
[01:47] 所以我可以點會員資料的時候跟我講,我發不好我就點嘛
[01:51] 我發不起就點lb
[01:53] 那個,逸峰的那個
[01:55] 發不好
[01:57] 有下午嗎?逸峰有
[01:59] 還在看他那個字
[02:01] 公圈圈,給他
[02:03] 有了進來了
[02:05] 它這個簡訊兌換這裡
[02:09] 目前是限走化
[02:11] 它不能點啦,對
[02:13] 目前是限走化
[02:15] 目前來講我設計的概念就是先這樣
[02:23] 然後等一下喔
[02:25] 這邊我再打一張銷售單
[02:29] 然後還要小手機,小小單
[02:33] 把寫到我手機上
[02:37] 可是它不是有很急這種紀念的方式
[02:39] 我可以什麼無卡分級
[02:41] 然後二手機收購
[02:43] 然後信息購買
[02:45] 然後
[02:47] 門號
[02:49] 我直接幫你打一張銷售單
[02:51] 老闆你那時候要去電影我送
[02:53] 你就可以直接個
[02:55] post這邊去打一張銷售
[02:57] 你現在可以點一下那個
[02:59] 美術,美術記錄
[03:01] 美術美戲
[03:03] 你現在這邊是空的吧?
[03:05] 空的對
[03:07] 13201323
[03:11] 這個它也沒有
[03:13] 秀那個VIP耶
[03:15] 這之後它沒有
[03:17] 那會不會有一個畫面圍繞不出來
[03:21] 就比較做的東西還多,尤其是別墅對外的
[03:23] 對啊,是啊
[03:25] 然後我看一下
[03:27] 二手機的負存插序
[03:29] 賣一個電影
[03:31] 賣一個電影
[03:33] 對,賣一個電影
[03:35] 然後信息
[03:37] 沒有,我講說它可以去
[03:39] 手機配件也有點數
[03:41] 就是直接去抓那個上面裡面
[03:43] 點數
[03:45] 所以你現在手機配件裡面
[03:47] 你有先把它點數設好
[03:49] Post V3測試論點
[03:51] 有,對
[03:53] 就是它這邊的點數計算是照這裡來
[03:55] 是,就是這裡,點數設定
[03:57] 最簡單的方式
[03:59] 這個就是信息的話就是
[04:01] 行動電話
[04:03] 行動電話類
[04:05] 行動電話類的點數是多少
[04:07] 然後這邊按修改
[04:09] 然後這邊改設照這裡
[04:11] 這邊按考量
[04:13] 然後問說就是目前
[04:15] 這個行動電話類下面有多少無線商品
[04:17] 按4的話就是
[04:19] 全部就改成上來電
