# 逐字稿 2026-04-22
# 來源音檔：錄製 (2).m4a

[00:00] 所有的AI模型都是這些預訓內的
[00:04] 欸 結果另外那個同學
[00:08] 他馬上到
[00:10] 那我們可以等他一下
[00:12] 因為我怕我們講一講
[00:14] 順便大家先討論一下
[00:16] 好 那這個想法
[00:18] 我們從蛋白質的這個東西裡面
[00:22] 我們就從這個所謂的
[00:24] Sale to Selling
[00:26] 來來來 等你一下
[00:28] 這個東西是這個概念
[00:30] 就是說其實我們現在都在想盡辦法
[00:34] 推廣或推開
[00:36] 這種所謂的預訓內模型的
[00:40] 使用邊界 使用情境
[00:42] 那這一種使用情境就是一種
[00:46] 有趣的使用情境
[00:48] 那這個使用情境是這樣的
[00:50] 我們都知道一個狀況是這樣
[00:52] 就是說現在呢
[00:54] 我們基本上來說
[00:56] 我們基本上來說
[00:58] 這個現在所有的東西
[01:00] 在生物學裡面
[01:04] 生物學裡面就是那個細胞
[01:08] 然後細胞有各種各樣的蛋白質的表現
[01:10] 你知道其實一個細胞的生物作用其實是這個樣子
[01:14] 就是你的人有很多的細胞
[01:16] 每一個細胞裡面會有細胞
[01:18] 細胞沒有染色體
[01:20] 染色體有各種各樣的基因的編碼
[01:22] 基因的編碼之後會經過轉入轉譯
[01:26] 然後變成吃各種各樣的蛋白質的訊息
[01:28] 然後這些蛋白質就有各種各樣的作用
[01:32] 然後就形成整個細胞的作用
[01:34] 好 那那個癌細胞
[01:38] 或者是各種各樣的細胞
[01:40] 就是因為這些的作用裡面
[01:42] 發生了某一些特別不一樣的變化
[01:44] 那現在的問題來了
[01:48] 就是說那這樣子的
[01:50] 我先把一些背景知識介紹一下
[01:52] 就是說現在目前人有多少個基因A
[01:56] 人類有23對人設定
[02:00] 那有多少基因A
[02:02] 我跟你講
[02:04] 它裡面有大概30億個Facetail
[02:06] Facetail就是所謂的基因組
[02:10] 就是ATGC這種基因組
[02:14] 就是核酸就是DNA
[02:16] 但是裡面真正會變成蛋白質產物的
[02:22] 這個稱之為基因
[02:24] 人類有多少基因A
[02:26] 你不和人類有多少基因A
[02:28] 比你想像中的少很多
[02:30] 所以這兩萬多個基因的蛋白質的表現
[02:34] 我們現在有一個叫做
[02:36] 所謂的Single Cell那一個東西
[02:38] 它可以把一個細胞裡面
[02:40] 各個蛋白質的表現量稍微記錄起來
[02:44] 記錄起來以後
[02:46] 我們就想說
[02:48] 那能不能夠拿這樣子的東西
[02:52] 想辦法組織成一個特性
[02:56] 一個細胞它的各個蛋白質的表現量
[03:00] 我能不能夠去說明這個細胞在幹嘛
[03:04] 這個是原本的想法
[03:06] 好那大家都到了
[03:08] 我們今天來跟大家講一下這個東西
[03:14] 好那今天我們要跟大家講
[03:20] 所謂的Cell to Centric Model
[03:22] 那我們到時候會把
[03:24] 你去Google一下
[03:26] Cell to Centric
[03:28] 那出了那你就可以
[03:30] R的大
[03:34] Cell
[03:38] to Centric
[03:40] Cell to Centric
[03:42] 你給我動詮啊
[03:44] 因為他們下午他們有空置
[03:46] 它把R掉的時候沒有空
[03:48] 然後或者現在Cell to Centric
[03:50] 蹲下的時候你到這邊來把它進去
[03:52] 對對對
[03:54] 好好
[03:56] 這問題你進好
[03:58] 我們其它的東西
[04:00] 好來來
[04:04] 好啦好啦
[04:06] 那其他基礎的東西我們再來提一下
[04:08] 其實是這樣子
[04:10] 好啦我再一步一步跟大家說明一下
[04:12] 就是說這個東西其實是這樣的一個概念
[04:14] 好那原本我們的這個
[04:16] 剛剛講一個細胞裡面的各個蛋白質的表現量
[04:18] 那我們稱之為
[04:20] Cell to Centric
[04:22] 或Cell的語言
[04:24] 那其實這首先我們要先知道一件事情
[04:26] 我們要知道什麼叫做蛋白質語
[04:28] 那蛋白質語也是怎麼呢
[04:30] 我詳細跟大家介紹一下
[04:32] 蛋白質語是一個
[04:34] 那蛋白質語言是什麼呢
[04:36] 我詳細跟大家介紹一下
[04:38] 我們現在的人類語言就是我們現在熟知的
[04:40] 這些各種AI的模型
[04:42] 它基本上就是把各種各樣的
[04:44] 語言變成一個Token
[04:46] 然後接下來我就訓練一個模型
[04:48] 然後這個模型裡面用各種各樣的
[04:50] 很大型的矩陣然後大一個
[04:52] 三數的量然後基本上
[04:54] 可以把後面的這個東西補上去
[04:56] 這樣
[04:58] 那就是說用這個樣子的
[05:00] 一個概念它在一定的
[05:02] 規模底下
[05:04] 它就可以做出來就是說
[05:06] 好那不管是你現在
[05:08] 跟你應答或是對答
[05:10] 或是現在目前所有的這些相關的
[05:12] 任務它都用這樣的概念
[05:14] 去把這個所謂的預訓練語的模型
[05:16] 做起來那
[05:18] 同樣的道理我們可以把它
[05:20] 變成是所謂的蛋白質的
[05:22] 胺基酸序列那我們
[05:24] 我再跟大家介紹一下背景是
[05:26] 我們總共人類裡面有20種的
[05:28] 胺基酸那20種
[05:30] 胺基酸它一樣是從頭到尾接起來的
[05:32] 從頭到尾接起來
[05:34] 那這樣稱之為蛋白質語言模型
[05:36] 那這樣子的
[05:38] 蛋白質的序列
[05:40] 是20種胺基酸組成的嘛
[05:42] 那一樣如果你把很多的
[05:44] 蛋白質序列變成是你的
[05:46] 訓練資料然後把某一些
[05:48] 胺基酸拿掉然後
[05:50] 你的蛋白質語言模型
[05:52] 補回去那就是所謂的
