# 逐字稿 2026-04-30
# 來源音檔：錄製 (4).m4a

[00:00] 再來就是說,票券的地方只有銷售單位
[00:08] 對於語心來講,他們可能也會需要維修帶給整理
[00:13] 維修我們不是有一個維修零件嗎?
[00:15] 你說掛在維修零件上面
[00:17] 我們不是有一個維修零件,它有一個維修物品
[00:21] 所以它掛在上面也不是不行
[00:25] 對,是不會不行
[00:28] 所以意思就是說,維修帶可以先做一個票券的實驗
[00:36] 它未來有可能有這個需求,但是我覺得機率不大
[00:40] 好,不然這部分我就先做一個方旋,然後先不掛了
[00:45] 對,我倒是覺得有沒有其他
[00:49] 還有一個就是,我想問一下
[00:52] 就是在技術面上面來講
[00:54] 之前的這個
[00:56] 然後轉在側手來
[01:08] 你這個我還要點了之後還要按下轉,再轉出去
[01:12] 這個這樣的話,我覺得會希望是怎麼樣的
[01:17] 你看喔,你在右手這邊
[01:19] 我再按8萬4,來救他
[01:22] 你再按一次,刷箱一次
[01:24] 怎麼刷箱一次?
[01:26] 我再回到自己的MOS
[01:28] 還是沒有嗎?
[01:29] 沒有沒有沒有
[01:30] 我這個我得先點那個下載
[01:32] 對
[01:33] 然後就下載這個位置
[01:36] 對
[01:37] 我再去點
[01:40] 你不能直接把那個零件分下來嗎?
[01:44] 分下來,直接連結分下來
[01:46] 你那是CloseAid嗎?
[01:47] 對啊
[01:48] 我不知道,我總覺得好像是
[01:56] 不知道,我總覺得好像檔案會比連結好
[02:00] 我覺得啦,我不知道我哪裡來的不安感
[02:04] 反正我覺得好像這樣會比較好
[02:06] 對啊,老闆想問一下就是
[02:08] 銷售商上面有明鏡
[02:11] 這個欄位是在做什麼?
[02:13] 筆卷
[02:14] 筆卷,對啊
[02:15] 沒有什麼啊
[02:16] 就是以前笨笨的把那個付款方式算這幾種
[02:20] 事實上它應該是一個Debit,它有各種付款方式
[02:25] 你可以來一配付兩千
[02:26] 現金給一千
[02:28] 其他分期為一款,分什麼期期
[02:31] 這才是現階段比較合理的做法
[02:34] 但是大多都是
[02:36] 大多的銷售在上面
[02:41] 它什麼意思?
[02:43] 就是說
[02:47] 我在想說這個折離金額要掛在這個金上
[02:51] 就算完之後換
[02:53] 折離金額
[02:57] 對啊,日後券折離金額
[03:00] 這個在裡面已經有了
[03:02] 這個之後再討論一下
[03:04] 因為裡面已經有XXX的利用券
[03:07] 這麼一把啊
[03:08] 對啊,可以的
[03:09] 是目前設想是這樣
[03:11] 那我在想說如果有這個理解的話
[03:13] 因為它還是付款方式嘛
[03:14] 等於說他們可以直接用物理的付款方式來去算這個
[03:18] 這張券的時段
[03:20] 只需要再把在這個
[03:22] 就是你券的NDA來上面提供
[03:24] 你計算出來的這個金額這樣
[03:26] 這也是另外一種方式
[03:28] 但這會是比較
[03:30] 折離券我們其實是一種付款方式
[03:33] 不是折離方式,是觸法方式
[03:37] 好吧,那好像不太適合做這個
[03:40] 對啊,以前就是付款方式
[03:42] 以前有發一些什麼
[03:44] 可以券什麼
[03:46] 什麼券
[03:48] 現金券
[03:50] 以前有發一些那個
[03:52] 現金券
[03:54] 我們有發過什麼
[03:56] 振興券、挪娃國券
[03:58] 所以這是用在這個上面
[04:00] 好吧
[04:02] 最早之前2000年的時候是想說
[04:04] 門市會發所謂的
[04:06] 折離券
[04:08] 25年後折離券又出現
[04:22] 下面這個點數是什麼意思
[04:26] 銷售單下面那個點數
[04:34] 銷售單下面這個點數
[04:36] 銷售單下面
[04:40] 那個我當初是想做說
[04:42] 但是那個後來發覺不太對
[04:44] 就是我們遠傳
[04:46] 也會針對你賣了什麼樣的專案
[04:48] 他會有點數
[04:50] 因為他不是連在
[04:52] 商品上面的點數
[04:54] 他其實我做這個點數
[04:56] 後來發覺他不實用
[04:58] 是因為這個其實是給遠傳
[05:00] 台哥大用的
[05:02] 就是
[05:04] 如果沒有點數的話
[05:06] 我就會把上次的點數壓在上面
[05:08] 那就是說
[05:10] 遠傳例如說WBB
[05:12] 他有好幾個
[05:14] 所謂的
[05:16] 你可以銷售好幾類的商品
[05:20] 例如說銷售家電類可能要
[05:22] 有什麼點
[05:24] 銷售什麼樣的專案有什麼點
[05:26] 新生裝有什麼點序
[05:28] 但他規則是極其複雜
[05:30] 你看
[05:32] 你的月租費較之前
[05:36] 是升是有多點
[05:38] 就你原本是499
[05:40] 改成599你有升點
[05:42] 我們叫升轉
[05:44] 續約升轉降轉
[05:46] 那就是
[05:48] 他的規則很多
[05:50] 升轉有降轉沒有
[05:52] 那續約如果降轉
[05:54] 就怎麼樣
[05:56] 低於多少不計點
[05:58] 達到上限之後
[06:00] 就是上游
[06:02] 有的上游頂有的底有蓋
[06:04] 上游蓋有的底有蓋
[06:06] 就是他有個錯的上限跟一個扣除
[06:08] 然後整個的公式
[06:10] 會導出一個結論
[06:12] 是你這個月幾分
[06:14] 每個月不一樣
[06:18] 好那這個點數大概是先
[06:20] 我可能要再做一個
[06:22] 點數的結論
[06:24] 就是我的隊不會中
[06:26] 你的隊不會中
[06:28] 反正他的規則一直在換
[06:30] 沒關係那不重要
[06:32] 下一個
[06:34] 還有一個就是說
[06:36] 我可能會在這邊做一個結論
[06:38] 然後
[06:40] 你是說他們的
[06:42] 這個專案內容
[06:44] 是說他們
[06:46] 保險內有那個
[06:48] 有那個點數嗎
[06:50] 你要先看一下他們現在針對保險
