# 逐字稿 2025-06-30
# 來源音檔：錄製.m4a

[00:00] 然後他有哪一塊
[00:03] 那個是講黑的
[00:06] 然後那個列印那個是叫什麼
[00:09] 水晶爆表
[00:12] 現在所有客戶按列印
[00:14] 都是走水晶爆表出來
[00:16] 以前我們想過很多方式
[00:18] 以前我們把水晶爆表放在Crydon
[00:20] 結果Crydon的安裝檔大概就
[00:22] 不好管理
[00:24] 不好管理 因為他們的版本亂七八糟
[00:26] 因為我跟你講
[00:28] 有時候Cryston的版本差一個八個
[00:29] 他們就不能贏
[00:31] 差一點幾個版本
[00:33] 對
[00:35] 我當初裝在這台上面
[00:39] 為了要列印我裝了快一週
[00:41] 因為他有好幾個版本
[00:43] 而且中間那個是跟
[00:45] 那個Feature Studio組在一起
[00:48] 後面他沒有分
[00:48] 他沒有分家
[00:50] 所以他們那個版本超級難找
[00:52] 好啦 沒關係啦
[00:53] 那就是Crystal Report這個要讀一次
[00:56] 那payment的部分講到
[00:58] 目前大概是這幾個
[01:01] 目前這幾個
[01:02] 最主要的部分
[01:03] 對…
[01:04] 但是
[01:05] 還有一個就是
[01:06] 會計帳戶的部分
[01:07] 以前有寫進去
[01:10] 有喔 以前是Login之後
[01:12] 你可以說這間店只用到這個月
[01:14] 然後他
[01:15] 但是那個操作太複雜
[01:16] 你知道嗎
[01:17] 他不是關掉嗎
[01:19] 後來我只能把他關掉
[01:20] 因為他的
[01:21] 他有一個bug是
[01:22] 當你開兩個視窗的時候就掛了
[01:24] 因為我記得裡面還有腳背系統
[01:25] 有…
[01:27] 但當初為什麼腳背系統也關掉
[01:29] 他開兩個視窗就掛掉
[01:32] 金額會算錯
[01:33] 他2600多塊變30幾塊
[01:38] 這個東西是一個致命的bug
[01:39] 因為錢不能收除
[01:41] 這個錢不能收除
[01:42] 錢不能收除
[01:43] 所以我只能把他關掉
[01:44] 就是
[01:45] 不是 那當初是怎麼訂價格的
[01:47] 他有放在製造庫裡面嗎
[01:48] 沒有 他是寫實在程式裡面
[01:52] 好怪 他應該放在製造庫裡面
[01:54] 對啊…
[01:55] 就是當初
[01:56] 這個客戶多少錢多少資料
[01:59] 對 而且當初他一開始是把各類型的
[02:03] 我其實一直強調是
[02:04] 他只要把月租的部分搞定就好
[02:07] 因為我們有年繳的
[02:09] 有月租的
[02:10] 也有1、3、6
[02:11] 1、3、6個月的
[02:13] 所以說我其實有這些需求
[02:17] 但是我們可以的話
[02:18] 當然是能做一套處理是最好
[02:21] 不行的話你就單純處理月租就好
[02:25] 那再來就是
[02:25] 我們先把上個月講完
[02:28] 公版商品
[02:29] 公版商品目前是載得進去有發格
[02:31] 但是能下載了嗎
[02:33] 下載是可以
[02:35] 下載是可以下載
[02:37] 好用嗎
[02:38] 還在調整
[02:40] 所以這個也算還沒整完
[02:43] 這個月其實
[02:46] 所以上個月
[02:48] 那虧帳戶系統基本上沒有開始
[02:51] 對
[02:53] 只做一個開端
[02:54] 應該就是先把
[02:55] 在哪
[02:55] 就是先把那個
[02:57] 哪些是月繳先整出來
[03:01] 哪些是月繳
[03:02] 他整理完了嗎
[03:03] 我快去那邊有弄好嗎
[03:05] 是喔那邊應該有
[03:09] 沒有這個系統的話
[03:11] 我之前是只有把它做到
[03:13] 自動生成那個報表而已
[03:15] 就是自動生成的清管單
[03:17] 然後那個
[03:19] OK
[03:20] 然後之前有說老闆整理
[03:23] 說哪一間店
[03:24] 那個有快進有去把它填進去
[03:26] 有有填進去
[03:27] 還沒有把它整合到這邊
[03:28] OK好
[03:30] 所以這個
[03:32] 其實那時候我就講說這個不可能
[03:33] 這個這季終不完
[03:35] 那個是下一季的事
[03:36] 所以那個不算在第一季的目標裡面
[03:39] 所以第一季有兩個是卡的
[03:41] 兩個是卡的
[03:43] 沒有完全
[03:44] 對沒有完全
[03:46] 不完全
[03:47] 好
[03:48] 那就問問大家
[03:49] 是目標訂太多
[03:51] 還是哪邊
[03:52] 中途雇退出
[03:55] 雇退出只有第一項跟
[03:58] 然後再增加一個
[04:00] 所以是雇退出
[04:02] 你要邊lag一下
[04:03] 對
[04:04] 那公版商品這一邊
[04:06] 公版商品
[04:07] 我們公版商品其實沒有討論一個
[04:09] 怎麼做比較好
[04:11] 就是它都還在摸
[04:12] 就是摸是時候過河
[04:14] 一個一步一步放進去
[04:15] 那請問一下公版商品
[04:17] 你們有沒有什麼
[04:18] 有沒有什麼計畫看法或畫面
[04:20] 我們可以來討論
[04:22] 因為等於是這個沒有討論完
[04:23] 沒辦法做
[04:25] 目前喔
[04:26] 因為
[04:27] 你的畫面有嗎
[04:28] 目前是只有把資料整理
[04:29] 因為那時候一直在講說
[04:31] OK我們要怎麼推
[04:34] 對嗎
[04:37] 沒有我們那時候對
[04:38] 就是
[04:39] 我們那時候是希望
[04:41] 如果有辦法設計得更好用
[04:42] 其實我就是給你們腦力激盪一下
[04:44] 因為那個之前是
[04:45] 我有參與了
[04:46] 但是之前的環境跟現在不一樣
[04:48] 因為之前是人力
[04:49] 現在是AI的
[04:50] 所以它的整個環境不太一樣
[04:53] 所以你看有沒有什麼更好的
[04:55] 你要提一些想法
[04:57] 變成你要提一些想法
[04:58] 怎樣你覺得會更好用
[05:00] 公版那時候插進來
[05:02] 因為那時候有部分
[05:03] 梅河是要交給公主去做的
[05:05] 但是這部分也是
[05:07] 這部分也是公主那邊
[05:08] 稍微卡住了一下
[05:09] 但是公主是梅河舊的
[05:11] 我們公版是下載新的
[05:13] 其實它其實不完全是一件事
[05:15] 因為下載新的跟之前的這方面有關
[05:19] 因為我們那時候是有說
[05:20] OK 我們要推給他們
[05:21] 他們沒有的上面
[05:23] 對 當然公版是推他沒有的
[05:26] 你已經建好
[05:27] 但是怎麼辦呢
[05:27] 他沒有是要先訓梅河
[05:29] 這才會打
[05:30] OK 所以公版這一塊的
[05:32] 應該說它的複雜度
[05:34] 比我們想的來得高
[05:37] 我講的不是
[05:38] 我們今天講的是
[05:39] 我們要怎麼調整
[05:40] 我們現在要訂的目標
[05:42] 也沒有怪誰怎麼樣
[05:44] 就是速度太慢的
[05:46] 我想大家也知道
[05:47] 哪邊速度太慢
[05:48] 或者是複雜度太高
[05:50] 超過我們想像
[05:51] 我們要做一點調整
[05:52] 那在公版的調整這一塊
[05:54] 我會覺得說
[05:55] 你們有沒有什麼想法
[05:56] 就是你在用
[05:57] 怎樣下載會比較好用
[05:59] 什麼地方透過AI跟程式的結合
[06:01] 會讓它更好用
[06:03] 你現在有沒有什麼想法
[06:04] 你要不要先拿出來
[06:06] 首先第一個
[06:08] 我覺得它這個好不好用
[06:12] 對它的重要性來講的形式
[06:14] 主要是我們怎麼讓客戶知道這個資訊
[06:19] 怎麼讓客戶知道這些公版商品的資訊
[06:23] 所以你說推廣
[06:25] 推播的部分是
[06:27] 應該花心力在推播上
[06:29] 因為這個其實在原版見面
[06:32] 那時候我跟老闆討論出來是
[06:34] 它沒有那麼不好用
[06:35] 它是可以用的
[06:36] 就是沒人在使用
[06:38] 因為沒人知道
[06:40] 而且最主要是那時候還沒有資料源
[06:43] 就是OK 西法的商品跟舊版的商品
[06:47] 因為那時候就是
[06:48] 裡面沒有資料源他們也不太會用
[06:51] 沒有資料源沒辦法用
[06:52] 好 OK
[06:54] 反正現在那個爬蟲的部分搞定
[06:56] 對 爬蟲搞定之後
[06:57] 下面這個資料
[06:59] 有資料源之後
[07:00] 我就可以開始想辦法推這個
[07:03] 就剩部分調整完就可以直接放進去
[07:08] 可是因為我
[07:09] 大家推送的方式是這樣
[07:11] 就是我會先
[07:12] 因為現在資料庫那邊是
[07:15] 只要將那個客戶是誰
[07:18] 只要填進去
[07:19] 然後我再發給他們老闆
[07:21] 用這個API的方式發給他們老闆
[07:24] 給他們這些資訊
[07:25] 我看到時候他們的手作風怎麼樣
[07:28] 你那個在群裡面
[07:30] 那個填資料的我還沒填完
[07:34] 是放在群裡
[07:36] 好…
[07:39] 就是填進去之後
[07:40] 因為我到時候就直接把那個
[07:43] 一聲有抓下來然後匯到資料庫
[07:46] 因為我寫一個後端是
[07:48] 有沒有辦法是
[07:50] 你像我今天那個
[07:51] 他不是有一個鋼技訓起來那個
[07:53] 那個是國瑞二
[07:56] 我們是不是有辦法新的是可以
[08:00] 我怎麼講有一個介面
[08:02] 是不論在資料庫也好還是在哪裡
[08:05] 我們直接填完就好
[08:06] 還是
[08:07] 你可以直接填在那個
[08:10] 可是我的意思說
[08:11] 像今天新的進來這個
[08:13] 舊的那個也不會跟著改
[08:16] 我說有沒有一個介面
[08:17] 是我填完之後
[08:18] 你現在我填完你還要再做轉換
[08:21] 把它換到資料庫裡面去
[08:23] 對 你可以直接在資料庫裡面說他是誰
[08:26] 他那個有沒有
[08:27] 他每一天都會一起自信
[08:29] 就是他每一天自信的時候
[08:30] 你的那個eSale
[08:31] 他自己會讀出來把它填進去
[08:33] 不是 我是說
[08:34] 因為我會叫你做這個eSale
[08:35] 是因為我要把eSale轉換成那個
[08:37] 丟進資料庫
[08:38] 因為進到那個資料庫裡面有沒有
[08:41] 我那邊有個後端
[08:42] 他會去讀這個資料庫的這個table
[08:44] 他裡面如果有發現新資料
[08:45] 他會把它丟到搜狀裡面去
[08:47] 他自己就
[08:48] 所以我今天早上新的那個部分
